Designator,Mid X,Mid Y,Rotation,Layer
R3_3,77.537341,-47.063267,240.0,top
R3_2,20.125604,-47.063267,240.0,top
R3,77.537341,-95.352785,240.0,top
R30_4,92.205807,-21.555257,270.0,top
R30_3,34.79407,-69.844775,270.0,top
R30_2,92.205807,-69.844775,270.0,top
R30,34.79407,-21.555257,270.0,top
R31_4,57.088129,-36.855215,0.0,top
R31_3,57.088129,-85.144733,0.0,top
R31_2,114.499866,-36.855215,0.0,top
R31,114.499866,-85.144733,0.0,top
R32_4,114.499866,-87.14473,0.0,top
R32_3,57.088129,-38.855212,0.0,top
R32_2,57.088129,-87.14473,0.0,top
R32,114.499866,-38.855212,0.0,top
R33_4,109.749885,-25.05515,180.0,top
R33_3,52.338148,-73.344668,180.0,top
R33_2,52.338148,-25.05515,180.0,top
R33,109.749885,-73.344668,180.0,top
R34_4,48.838144,-25.055158,0.0,top
R34_3,48.838144,-73.344676,0.0,top
R34_2,106.249881,-25.055158,0.0,top
R34,106.249881,-73.344676,0.0,top
R35_4,106.249866,-71.344671,0.0,top
R35_3,48.838129,-71.344671,0.0,top
R35_2,106.249866,-23.055153,0.0,top
R35,48.838129,-23.055153,0.0,top
R4_4,80.03734,-42.733151,60.0,top
R4_3,80.03734,-91.022669,60.0,top
R4_2,22.625603,-91.022669,60.0,top
R4,22.625603,-42.733151,60.0,top
R5_4,19.78182,-74.196872,300.0,top
R5_3,77.193557,-74.196872,300.0,top
R5_2,19.78182,-25.907354,300.0,top
R5,77.193557,-25.907354,300.0,top
R6_4,103.705894,-43.655264,270.0,top
R6_3,46.294157,-91.944782,270.0,top
R6_2,103.705894,-91.944782,270.0,top
R6,46.294157,-43.655264,270.0,top
R7_4,31.715368,-35.390997,270.0,top
R7_3,89.127105,-35.390997,270.0,top
R7_2,31.715368,-83.680515,270.0,top
R7,89.127105,-83.680515,270.0,top
R8_4,44.294134,-50.655275,90.0,top
R8_3,101.705871,-98.944793,90.0,top
R8_2,101.705871,-50.655275,90.0,top
R8,44.294134,-98.944793,90.0,top
R9_4,24.21536,-87.68053,0.0,top
R9_3,24.21536,-39.391012,0.0,top
R9_2,81.627097,-87.68053,0.0,top
R9,81.627097,-39.391012,0.0,top
U1_4,93.705867,-93.944768,180.0,top
U1_3,93.705867,-45.65525,180.0,top
U1_2,36.29413,-93.944768,180.0,top
U1,36.29413,-45.65525,180.0,top
U10_4,28.294095,-17.555239,0.0,top
U10_3,85.705832,-17.555239,0.0,top
U10_2,85.705832,-65.844757,0.0,top
U10,28.294095,-65.844757,0.0,top
U11_4,55.088133,-79.144729,180.0,top
U11_3,55.088133,-30.855211,180.0,top
U11_2,112.49987,-79.144729,180.0,top
U11,112.49987,-30.855211,180.0,top
U12_4,94.999859,-79.144708,180.0,top
U12_3,94.999859,-30.85519,180.0,top
U12_2,37.588122,-30.85519,180.0,top
U12,37.588122,-79.144708,180.0,top
U2_4,74.811985,-27.2824,120.0,top
U2_3,17.400248,-75.571918,120.0,top
U2_2,74.811985,-75.571918,120.0,top
U2,17.400248,-27.2824,120.0,top
U3_4,86.12709,-79.180533,270.0,top
U3_3,28.715353,-79.180533,270.0,top
U3_2,28.715353,-30.891015,270.0,top
U3,86.12709,-30.891015,270.0,top
U4_4,112.374793,-64.489235,126.0,top
U4_3,54.963056,-16.199717,126.0,top
U4_2,112.374793,-16.199717,126.0,top
U4,54.963056,-64.489235,126.0,top
U5_4,15.122199,-69.389088,300.0,top
U5_3,15.122199,-21.09957,300.0,top
U5_2,72.533936,-69.389088,300.0,top
U5,72.533936,-21.09957,300.0,top
U6_4,74.811782,-82.717533,60.0,top
U6_3,17.400045,-82.717533,60.0,top
U6_2,17.400045,-34.428015,60.0,top
U6,74.811782,-34.428015,60.0,top
U7_4,98.70584,-59.844769,0.0,top
U7_3,41.294103,-11.555251,0.0,top
U7_2,41.294103,-59.844769,0.0,top
U7,98.70584,-11.555251,0.0,top
U8_4,49.897002,-38.585373,180.0,top
U8_3,107.308739,-86.874891,180.0,top
U8_2,107.308739,-38.585373,180.0,top
U8,49.897002,-86.874891,180.0,top
U9_4,23.794608,-94.559457,330.0,top
U9_3,81.206345,-94.559457,330.0,top
U9_2,23.794608,-46.269939,330.0,top
U9,81.206345,-46.269939,330.0,top
