Designator,Footprint,Quantity,Value,LCSC Part #
"C1_4, C1_3, C1_2, C1, C4_4, C4_3, C4_2, C4",0603,8,1u,
"C10_4, C10_3, C10_2, C10, C11_4, C11_3, C11_2, C11, C2_4, C2_3, C2_2, C2",0603,12,100n,
"C12_4, C12_3, C12_2, C12",0603,4,4.7u,
"C13_4, C13_3, C13_2, C13, C3_4, C3_3, C3_2, C3, C5_4, C5_3, C5_2, C5, C6_4, C6_3, C6_2, C6, C7_4, C7_3, C7_2, C7, C8_4, C8_3, C8_2, C8, C9_4, C9_3, C9_2, C9",0603,28,10u,
"J1_4, J1_3, J1_2, J1",USB-C-SMD_TYPE-C-6PIN-2MD-073,4,TYPE_C_6PIN_2MD_073,
"KiKit_FID_B_1, KiKit_FID_B_2, KiKit_FID_B_3, KiKit_FID_T_1, KiKit_FID_T_2, KiKit_FID_T_3",Fiducial,6,Fiducial,
"L1_4, L1_3, L1_2, L1",0603,4,1uH,C394948
"L2_4, L2_3, L2_2, L2",IND-SMD_L3.0-W3.0_FNR30XXS,4,2.2uH,C167747
"R1_4, R1_3, R1_2, R1, R13_4, R13_3, R13_2, R13, R2_4, R2_3, R2_2, R2, R21_4, R21_3, R21_2, R21, R27_4, R27_3, R27_2, R27, R3_4, R3_3, R3_2, R3, R33_4, R33_3, R33_2, R33, R4_4, R4_3, R4_2, R4",0603,32,5k1,
"R10_4, R10_3, R10_2, R10, R11_4, R11_3, R11_2, R11, R12_4, R12_3, R12_2, R12, R14_4, R14_3, R14_2, R14, R15_4, R15_3, R15_2, R15, R16_4, R16_3, R16_2, R16, R26_4, R26_3, R26_2, R26, R28_4, R28_3, R28_2, R28, R29_4, R29_3, R29_2, R29, R30_4, R30_3, R30_2, R30, R9_4, R9_3, R9_2, R9",0603,44,150k,
"R17_4, R17_3, R17_2, R17, R18_4, R18_3, R18_2, R18, R23_4, R23_3, R23_2, R23, R24_4, R24_3, R24_2, R24, R31_4, R31_3, R31_2, R31, R32_4, R32_3, R32_2, R32, R34_4, R34_3, R34_2, R34, R35_4, R35_3, R35_2, R35, R6_4, R6_3, R6_2, R6, R8_4, R8_3, R8_2, R8",0603,40,470,
"R19_4, R19_3, R19_2, R19",0603,4,91k,
"R20_4, R20_3, R20_2, R20",0603,4,0r5,
"R22_4, R22_3, R22_2, R22, R25_4, R25_3, R25_2, R25, R5_4, R5_3, R5_2, R5",0603,12,3k,
"R7_4, R7_3, R7_2, R7",0603,4,2r,
"U1_4, U1_3, U1_2, U1",XCVR_ESP32-C3-MINI-1-N4,4,ESP32-C3-MINI-1-N4,
"U10_4, U10_3, U10_2, U10",SOT-23-5,4,M3406,C83224
"U11_4, U11_3, U11_2, U11",AUDIO-TH_ST-0277D00-052-142,4,ST-0277D00-052-142,C2837093
"U12_4, U12_3, U12_2, U12, U9_4, U9_3, U9_2, U9",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,8,SRV05-4_C558418,C558418
"U2_4, U2_3, U2_2, U2, U6_4, U6_3, U6_2, U6",LED-SMD_FM-3510RGBA-SG,8,FM-3510RGBA-SG,C727903
"U3_4, U3_3, U3_2, U3",ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,4,~,
"U4_4, U4_3, U4_2, U4, U5_4, U5_3, U5_2, U5",SW-SMD_TS-KG012EV,8,TS-KG012EV,C410363
"U7_4, U7_3, U7_2, U7",Bosch_LGA-14_3x2.5mm_P0.5mm,4,BMI270,
"U8_4, U8_3, U8_2, U8",CONN-TH_1.25T-2AW,4,1_25T-2AW_C722634,C722634
