Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5",0603,3,100n,
"C10, C11, C6, C7",0603,4,4.7u,
"C2, C3, C8",0603,3,1u,
C9,0603,1,0.1u,
J1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,USB_C_Receptacle_USB2.0,
L1,1008,1,2.2uH,C315721
"R1, R11, R14, R16, R2, R4, R5, R9",0603,8,5k1,
"R10, R13, R6, R7",0603,4,150k,
"R12, R18, R19, R8",0603,4,220,
R15,0603,1,10k,
R17,0603,1,680R,
R20,0603,1,0.1R,
"R21, R22, R3",0603,3,3k,
"U1, U13",LED-SMD_FM-3510RGBA-SG,2,FM-3510RGBA-SG,C727903
U10,SOT-23-5,1,M3406,C83224
U11,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,INA219AIDR,C138706
U12,CONN-TH_1.25T-2AW,1,1_25T-2AW_C722634,C722634
"U14, U2",SW-SMD_TS-KG012EV,2,TS-KG012EV,C410363
"U15, U3",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,2,SRV05-4_C558418,C558418
U4,XCVR_ESP32-C3-MINI-1-N4,1,ESP32-C3-MINI-1-N4,
U5,AUDIO-TH_ST-0277D00-052-142,1,ST-0277D00-052-142,C2837093
U6,Bosch_LGA-14_3x2.5mm_P0.5mm,1,BMI270,
U9,SOT95P280X145-6N,1,BQ21040DBVR,
