Designator,Mid X,Mid Y,Rotation,Layer
C1,137.127159,-115.820201,0.0,top
C10,162.727161,-112.820167,270.0,top
C11,165.727157,-116.320169,0.0,top
C12,156.727174,-99.820172,90.0,top
C13,156.227181,-92.820119,90.0,top
C2,130.127165,-117.820182,180.0,top
C3,141.891395,-101.241425,0.0,top
C4,130.127146,-115.820196,180.0,top
C5,141.891419,-105.241435,180.0,top
C6,135.627174,-99.320209,180.0,top
C7,132.127183,-99.320198,180.0,top
C8,150.391427,-97.741419,90.0,top
C9,152.391406,-97.741429,270.0,top
J1,134.884232,-88.571528,150.0,top
L1,151.391408,-102.241437,0.0,top
L2,159.727186,-95.320139,270.0,top
R1,137.127174,-117.820208,180.0,top
R10,141.891422,-95.741425,270.0,top
R11,144.996445,-113.749713,0.0,top
R12,139.891445,-95.741404,270.0,top
R13,158.731562,-123.253057,216.0,top
R14,147.796429,-114.749729,270.0,top
R15,144.996427,-115.749709,180.0,top
R16,144.996421,-117.749724,0.0,top
R17,148.391409,-94.241426,90.0,top
R18,146.391411,-94.241401,270.0,top
R19,151.391419,-105.241432,180.0,top
R2,133.627161,-115.820224,0.0,top
R20,151.391408,-100.241407,180.0,top
R21,154.227165,-92.820151,270.0,top
R22,140.238397,-91.457139,240.0,top
R23,165.727172,-106.820182,0.0,top
R24,165.727187,-108.820169,0.0,top
R25,141.970474,-92.457181,240.0,top
R26,155.727169,-104.320154,180.0,top
R27,137.697056,-126.673059,0.0,top
R28,159.227172,-106.320152,0.0,top
R29,159.227187,-104.320139,180.0,top
R3,130.219167,-91.651666,150.0,top
R30,155.727177,-106.320145,180.0,top
R31,140.427218,-129.114178,270.0,top
R32,138.427221,-129.114194,270.0,top
R33,152.227287,-123.864195,90.0,top
R34,152.227266,-120.364205,270.0,top
R35,154.227274,-120.364178,270.0,top
R4,134.549284,-94.151664,330.0,top
R5,151.375089,-91.307875,210.0,top
R6,133.627166,-117.820208,180.0,top
R7,141.891438,-103.241423,180.0,top
R8,137.697062,-124.673058,180.0,top
R9,137.891418,-95.741409,270.0,top
U1,131.627187,-107.820175,90.0,top
U10,159.727191,-99.820154,270.0,top
U11,146.427218,-126.614191,90.0,top
U12,146.42725,-109.114183,90.0,top
U2,150.000033,-88.926314,30.0,top
U3,146.391431,-100.241409,180.0,top
U4,161.045679,-126.438141,36.0,top
U5,156.182871,-86.648265,210.0,top
U6,142.854426,-88.926103,330.0,top
U7,165.727187,-112.820153,270.0,top
U8,138.697054,-121.423057,90.0,top
U9,131.012497,-95.320672,240.0,top
