Designator,Mid X,Mid Y,Rotation,Layer
C1,55.409003,-128.105771,180.0,top
C10,75.318493,-127.172513,180.0,top
C2,55.408988,-129.905771,180.0,top
C3,78.918487,-111.272511,270.0,top
C4,78.618484,-115.772518,90.0,top
C5,61.034011,-128.105761,0.0,top
C6,73.787837,-123.691108,180.0,top
C7,67.218484,-130.472516,0.0,top
C8,84.718486,-124.172519,270.0,top
C9,82.618492,-124.172517,270.0,top
J1,61.012869,-100.646201,150.0,top
L1,81.275696,-115.818947,270.0,top
R1,60.271893,-106.817925,330.0,top
R10,77.452572,-102.568405,60.0,bottom
R11,81.141122,-127.949557,135.0,top
R12,60.493616,-136.859096,90.0,top
R13,77.452572,-102.568405,300.0,top
R14,79.656205,-130.990115,225.0,top
R15,63.180623,-138.131895,0.0,top
R16,63.180627,-135.727739,0.0,top
R17,78.230862,-129.587035,225.0,top
R18,81.455261,-120.186783,0.0,top
R19,56.233986,-132.605753,90.0,top
R2,55.970106,-104.218836,150.0,top
R20,74.681299,-104.168395,60.0,bottom
R3,83.775709,-115.718938,90.0,top
R4,87.243491,-111.672517,0.0,top
R5,83.31317,-135.148701,144.0,bottom
R6,58.233992,-132.580762,270.0,top
R7,61.018492,-130.272516,180.0,top
R8,70.918489,-130.472512,0.0,top
R9,70.075706,-123.718929,180.0,top
U1,55.855248,-120.186772,90.0,top
U10,74.994194,-100.850541,30.0,top
U11,62.701334,-143.175144,306.0,bottom
U12,57.511234,-108.39951,60.0,top
U13,74.994194,-100.850541,330.0,bottom
U2,70.888307,-127.121916,0.0,top
U3,85.455261,-120.186759,270.0,top
U4,82.438204,-111.668934,0.0,top
U5,68.155276,-120.186758,270.0,top
U6,70.655279,-138.980763,90.0,top
U7,82.656372,-100.121837,150.0,bottom
U8,78.673511,-124.152015,0.0,top
U9,85.550834,-137.963621,144.0,bottom
