+3v3:4
BATT+:4
C1:2
C10:2
C11:2
C12:2
C13:2
C2:2
C3:2
C4:2
C5:2
C6:2
C7:2
C8:2
C9:2
GND:4
J1:2
KiKit_FID_B_1:1
KiKit_FID_B_2:1
KiKit_FID_B_3:1
KiKit_FID_T_1:1
KiKit_FID_T_2:1
KiKit_FID_T_3:1
L1:2
L2:2
R1:2
R10:2
R11:2
R12:2
R13:2
R14:2
R15:2
R16:2
R17:2
R18:2
R19:2
R2:2
R20:2
R21:2
R22:2
R23:2
R24:2
R25:2
R26:2
R27:2
R28:2
R29:2
R3:2
R30:2
R31:2
R32:2
R33:2
R34:2
R35:2
R4:2
R5:2
R6:2
R7:2
R8:2
R9:2
REF**:6
SCL:4
SDA:4
U1:2
U10:2
U11:2
U12:2
U2:2
U3:2
U4:2
U5:2
U6:2
U7:2
U8:2
U9:2
VBUS:4
