Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1, C4_2, C4",0603,4,1u,
"C10_2, C10, C11_2, C11, C2_2, C2",0603,6,100n,
"C12_2, C12",0603,2,4.7u,
"C13_2, C13, C3_2, C3, C5_2, C5, C6_2, C6, C7_2, C7, C8_2, C8, C9_2, C9",0603,14,10u,
"J1_2, J1",USB-C-SMD_TYPE-C-6PIN-2MD-073,2,TYPE_C_6PIN_2MD_073,
"KiKit_FID_B_1, KiKit_FID_B_2, KiKit_FID_B_3, KiKit_FID_T_1, KiKit_FID_T_2, KiKit_FID_T_3",Fiducial,6,Fiducial,
"L1_2, L1",0603,2,1uH,C394948
"L2_2, L2",IND-SMD_L3.0-W3.0_FNR30XXS,2,2.2uH,C167747
"R1_2, R1, R13_2, R13, R2_2, R2, R21_2, R21, R27_2, R27, R3_2, R3, R33_2, R33, R4_2, R4",0603,16,5k1,
"R10_2, R10, R11_2, R11, R12_2, R12, R14_2, R14, R15_2, R15, R16_2, R16, R26_2, R26, R28_2, R28, R29_2, R29, R30_2, R30, R9_2, R9",0603,22,150k,
"R17_2, R17, R18_2, R18, R23_2, R23, R24_2, R24, R31_2, R31, R32_2, R32, R34_2, R34, R35_2, R35, R6_2, R6, R8_2, R8",0603,20,470,
"R19_2, R19",0603,2,91k,
"R20_2, R20",0603,2,0r5,
"R22_2, R22, R25_2, R25, R5_2, R5",0603,6,3k,
"R7_2, R7",0603,2,2r,
"U1_2, U1",XCVR_ESP32-C3-MINI-1-N4,2,ESP32-C3-MINI-1-N4,
"U10_2, U10",SOT-23-5,2,M3406,C83224
"U11_2, U11",AUDIO-TH_ST-0277D00-052-142,2,ST-0277D00-052-142,C2837093
"U12_2, U12, U9_2, U9",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,4,SRV05-4_C558418,C558418
"U2_2, U2, U6_2, U6",LED-SMD_FM-3510RGBA-SG,4,FM-3510RGBA-SG,C727903
"U3_2, U3",ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,2,~,
"U4_2, U4, U5_2, U5",SW-SMD_TS-KG012EV,4,TS-KG012EV,C410363
"U7_2, U7",Bosch_LGA-14_3x2.5mm_P0.5mm,2,BMI270,
"U8_2, U8",CONN-TH_1.25T-2AW,2,1_25T-2AW_C722634,C722634
